date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:24:18	290/290	---M--	404	error ('Not%20Found')	text/html	date:Sun,%2020%20May%202018%2009:54:18%20GMT	http://gulmoharpens.com/robots.txt		(from )
15:24:18	14917/14917	---MCZ	200	added ('OK')	text/html	date:Sun,%2020%20May%202018%2009:54:19%20GMT	http://gulmoharpens.com/	C:/Users/chiru/Desktop/gulmohar/gulmoharpens.com/index.html	(from )
15:24:19	78766/78766	---MCZ	200	added ('OK')	application/javascript	etag:W/%22133ae-555d6d8643ee7%22	http://gulmoharpens.com/jquery.min.js	C:/Users/chiru/Desktop/gulmohar/gulmoharpens.com/jquery.min.js	(from http://gulmoharpens.com/)
15:24:20	24884/24884	---MCZ	200	added ('OK')	application/javascript	etag:W/%226134-555d6d85e8225%22	http://gulmoharpens.com/jquery.validate.min.js	C:/Users/chiru/Desktop/gulmohar/gulmoharpens.com/jquery.validate.min.js	(from http://gulmoharpens.com/)
15:24:21	1256/1256	---M--	200	added ('OK')	image/png	etag:%224e8-555d6d8589684%22	http://gulmoharpens.com/6.png	C:/Users/chiru/Desktop/gulmohar/gulmoharpens.com/6.png	(from http://gulmoharpens.com/)
15:24:25	25783/25783	---M--	200	added ('OK')	image/png	etag:%2264b7-555d6d85a1d24%22	http://gulmoharpens.com/7.png	C:/Users/chiru/Desktop/gulmohar/gulmoharpens.com/7.png	(from http://gulmoharpens.com/)
15:24:26	30165/30165	---M--	200	added ('OK')	image/jpeg	etag:%2275d5-555d6d8550c43%22	http://gulmoharpens.com/3.jpg	C:/Users/chiru/Desktop/gulmohar/gulmoharpens.com/3.jpg	(from http://gulmoharpens.com/)
15:24:30	17181/17181	---M--	200	added ('OK')	image/jpeg	etag:%22431d-555d6d85be245%22	http://gulmoharpens.com/4.jpg	C:/Users/chiru/Desktop/gulmohar/gulmoharpens.com/4.jpg	(from http://gulmoharpens.com/)
15:24:31	109018/109018	---M--	200	added ('OK')	image/jpeg	etag:%221a9da-555d6d8619f06%22	http://gulmoharpens.com/5.jpg	C:/Users/chiru/Desktop/gulmohar/gulmoharpens.com/5.jpg	(from http://gulmoharpens.com/)
15:24:32	69209/69209	---M--	200	added ('OK')	image/jpeg	etag:%2210e59-555d6d85867a4%22	http://gulmoharpens.com/2.jpg	C:/Users/chiru/Desktop/gulmohar/gulmoharpens.com/2.jpg	(from http://gulmoharpens.com/)
15:24:33	80305/80305	---M--	200	added ('OK')	image/jpeg	etag:%22139b1-555d6d858c564%22	http://gulmoharpens.com/1.jpg	C:/Users/chiru/Desktop/gulmohar/gulmoharpens.com/1.jpg	(from http://gulmoharpens.com/)
